greV,greQ,greA,cgpa,toeflScore,internExp,confPubs,journalPubs,researchExp,industryExp,university
146.8085106,168.0851064,4,6,111,0,0,0,0,0,Virginia Polytechnic Institute and State University
160,161,3.5,8.4,107,0,0,0,4,28,Virginia Polytechnic Institute and State University
152,161,4,9.1,111,1,0,0,0,0,Virginia Polytechnic Institute and State University
154,165,3.5,7.01,105,0,1,0,0,27,Virginia Polytechnic Institute and State University
152,167,4,9.47,116,4,1,0,4,22,Virginia Polytechnic Institute and State University
158,170,4,8.52,116,0,0,0,0,0,Virginia Polytechnic Institute and State University
138.2978723,164,5,7.96,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,161.7021277,3,7.5,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,170,4.5,9.27,117,2,0,0,0,0,Virginia Polytechnic Institute and State University
164,163,4,8.194,107,4,2,0,0,0,Virginia Polytechnic Institute and State University
167,168,4,7.13,105,0,0,0,0,0,Virginia Polytechnic Institute and State University
154,162,3.5,8.7,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4,9.14,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
134.0425532,170.212766,3.5,8.6,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
160,162,4,9.1,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,157.4468085,3.5,8.2,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
138.2978723,168.0851064,3.5,8.75,101,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,165,3.5,8.87,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,165.9574468,4,7.45,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4.5,7.5,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
153.1914894,170.212766,4,8.82,103,0,0,0,0,0,Virginia Polytechnic Institute and State University
152,165,4.5,7.48,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
163,166,4.5,8.95,114,2,0,0,7,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,9.05,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
155.3191489,170.212766,4,8,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
161,167,4,8.09,108,0,0,0,0,0,Virginia Polytechnic Institute and State University
161,170,4.5,8.04,115,0,0,0,0,0,Virginia Polytechnic Institute and State University
155.3191489,170.212766,4.5,7.822,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
162,168,3,7.72,111,0,0,0,0,0,Virginia Polytechnic Institute and State University
160,170,4,8.514,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
156,163,3,7,108,6,0,0,9,18,Virginia Polytechnic Institute and State University
150,165,3,8.08,102,0,0,0,0,0,Virginia Polytechnic Institute and State University
148,167,4,8.94,111,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,5.5,7.9,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
165,167,4,7.54,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,168,5,9,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,163.8297872,4.5,6.2,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
152,170,3.5,8.5,107,12,0,1,0,44,Virginia Polytechnic Institute and State University
136.1702128,170.212766,5,7.88,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,3,7.76,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
151,164,4,9.34,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
153.1914894,170.212766,5,8.6,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,168.0851064,3.5,6.9,102,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,165.9574468,3.5,8.52,101,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,3,7.7,113,0,0,0,0,0,Virginia Polytechnic Institute and State University
134.0425532,170.212766,3.5,7.95,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
140.4255319,165.9574468,4,9,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
153,160,4,8.96,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
155,164,4.5,8.3,115,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4.5,8.01,106,0,0,0,0,0,Virginia Polytechnic Institute and State University
156,166,3.5,7.8,103,6,0,0,0,24,Virginia Polytechnic Institute and State University
150,160,4,7.94,100,2,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4.5,9.25,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4,9.2,105,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,168.0851064,4,8.8,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,164,3.5,9.18,104,6,0,0,6,14,Virginia Polytechnic Institute and State University
130,161.7021277,3,9.925,97,0,0,0,0,0,Virginia Polytechnic Institute and State University
153,166,4,10,103,0,0,0,0,0,Virginia Polytechnic Institute and State University
155,170,3.5,8,109,0,0,3,0,0,Virginia Polytechnic Institute and State University
151.0638298,170.212766,4,5.85,116,1,0,0,10,16,Virginia Polytechnic Institute and State University
164,164,3.5,9.12,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
131.9148936,170.212766,4.5,8,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4,8.9,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,163.8297872,3.5,8.46,101,0,0,0,0,0,Virginia Polytechnic Institute and State University
131.9148936,170.212766,3.5,8.96,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,161.7021277,3.5,8.75,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,161.7021277,4,8.75,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,161.7021277,3.5,7.6,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
166,166,4,8.16,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
155,167,4,7.82,114,6,0,0,0,0,Virginia Polytechnic Institute and State University
157,164,5,8.23,113,0,0,0,0,0,Virginia Polytechnic Institute and State University
153,162,4,9.59,101,2,1,0,0,22,Virginia Polytechnic Institute and State University
155,168,4,7.03,118,9,1,0,15,0,Virginia Polytechnic Institute and State University
157,162,3.5,6.75,115,5,0,0,0,12,Virginia Polytechnic Institute and State University
140.4255319,170.212766,4.5,7.9,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
159,162,3.5,9.4,108,0,0,0,0,0,Virginia Polytechnic Institute and State University
154,163,4,9,113,6,0,0,2,34,Virginia Polytechnic Institute and State University
157,164,4,7.95,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
156,168,5,7.896,114,0,2,0,30,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,7.7,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
170.212766,170.212766,4,8.47,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
157,164,3.5,8.96,111,0,0,0,0,0,Virginia Polytechnic Institute and State University
151,163,3,8.82,107,3,0,0,0,0,Virginia Polytechnic Institute and State University
131.9148936,161.7021277,3,8.6,116,0,0,0,0,0,Virginia Polytechnic Institute and State University
156,167,4,7.7,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,8.3,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
142.5531915,170.212766,4,8.4,115,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,163.8297872,3,9.32,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
136.1702128,170.212766,4,7.9,108,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,168.0851064,3,8.4,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
167,170,4,9.47,116,0,0,0,0,0,Virginia Polytechnic Institute and State University
142.5531915,170.212766,3.5,9.25,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
157,163,3,7.52,111,0,0,0,0,0,Virginia Polytechnic Institute and State University
165,169,3.5,8.19,120,0,0,0,0,0,Virginia Polytechnic Institute and State University
148,161,3,8.5,100,0,0,0,0,0,Virginia Polytechnic Institute and State University
166,170,3.5,6.7,114,9,0,0,0,7,Virginia Polytechnic Institute and State University
130,170.212766,4,7.9,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
157,166,4,9.27,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,4.5,8.865,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
150,163,3.5,8.388,105,0,0,0,0,0,Virginia Polytechnic Institute and State University
